username || comment
gracesitumorangg || ada aja ide bocah tua satuini😂😢
fitkeey || ending yg diharapkan warga 🙌🏻😭
andiningt_ || fadil yg bener dilll😭
ayurhmaa01 || Cape benerr 😭😭😭
stamelia09_ || 😭😭
laviebella.id || Yeay adegan penyemburan!! 🙌🙌
rizkyamalia__ || Kayak berani aja uji nyali  mama ida pake mukena di jendela aja pak muh kaget bgt wkwkwk
lafleur__ri || Rumah serbaguna bisa jadi toko bisa jadi tempat uji nyali bisa jadi tempat 17an 😭😭😭
winsi.ab || 🤣🤣🤣🤣
me_reynaaa || dukun mulai terlengserkan oleh meta 😭
bruclyharsa25 || " Hantunya Gemuk " Pak Muh Tonjok Please 😭😭
dwidyah_trisnawati || Dari banyak video  ini paling puas nontonnya sesuai ekspektasi 😭
ir09x_ || bang  gue ulang2 adegan semburnya saking puasnya😂
ajengdh86 || Langsung ruqyah di tempat😂
tohamakmoon_ || Kayak "INILAH KISAHKU"
kedaipremi3 || "Dill yang benerr dill" 😭
najlaa_taqiyyah || Ada aja idenya 🤣🤣🤣🤣🤣
hanhan247501 || Tbtb bgt di semur😭
fadlyzaen || 🤣🤣🤣🤣
aednlv || idenya selalu ootb ni boca dua😢
n4fff1544 || first
__rfaiza || Tag @diarymisterisara @sarawijayanto gasihhh biar uji nyali beneran😇😇
ronsky_77 || Alhamdulillah untung gk ada Jumpscarenya 🤣
rianahafiz86 || Tolong banget ini mah teh @risa_saraswati @tim_jurnalrisa @sarawijayanto  ajakin atuh @fadiljaidi uji nyali beneran😂
laksmipaopao || Ternyata emg sama aja bpk anak ini😅
rejjaaallgsah || @sarawijayanto Collab dong
anitariana || Ngakak banget bagian sembur nya😂
arifdso || Jawaban agak beda dari Chat GPT yaaa 🤪
agithaandrianisitepu || Ajak duet ka @sarawijayanto 😍
dyanap___ || 😂😂😂😂 bagus pak.. sembur aja ... Wkwkek idenya pak Muh... Kalo kesurupan di sembur wkwkwkwkwkwkwkwkwkw...
s.nuriah_ || Mana video pa Muh nonton timnas
emiyabrahmana_ || Shock akhirnya wkwk
vie_de_deesse || dil tapi meta dukung siriwil 😢
nkt__zkf_99 || Puas bnget wktu disembur🤣
nico_why99 || bang reaksi pakmu timnas kalah gimana😭
h_sitinurul || Wkwkwk terhibur sekali aku🤣
anggun_wahyunimz || Bagus banget acting pak muh
saisya07 || @ritaasyaaa @sntabllasila kita pernah gasih bikin ginian waktu dulu ahahaha🤣🤣
rah_maallya || @sarawijayanto mba kayanya ada yg mau ikut penelusuran ini @diarymisterisara @_demianaditya_ @wisnuhardana @fadi.iskandar @kakak.day
llu.frynt__ || @tim_jurnalrisa plissss ajakinnnnn
imamihahahihihuhu__ || Plis @tim_jurnalrisa teh @risa_saraswati ajak bang @fadiljaidi penelusuran teh😬🕺🏼
nidey890 || Anjir di sembur😭
yuningsihdwi_ || Maaf numpang tanya ya  aku dulu pernah coba IF jam 10 pagi makan buah  siang makan nasi cuma 4 sendok  sore stop makan. Berat badan dari 80 turun ke 65.. tapi pas sibuk kerja suka naik lagi. Ada tips biar konsisten gak gampang naik lagi kah?
nrlfqh19 || Ending ny ngakak anjir😭😭
msplenggazaa || Endingnya yg ditunggu”😭😂
zulfaatikah_03 || 😭🤏🏻
ima_nagieb || Ending yg tak terduga.. 😭😭😭
syafiah_ccq_cahyani || @sarawijayanto ajakin nih kayaknya siap😂
theresbillahere || ibuu @sarawijayanto udah ka fadil dong buuu
3.trsn || @sarawijayanto kak minta di ajak penelusuran😂
yua644yu || ini mah harus colab bareng @sarawijayanto
ade_suci_albutuni || @queennrain_  @hasra_30  @sstrwlmyr 😭🤣
868__kayla_naya || Gak kuat 😂😂😂
adyyyyn_ || ada aje heran idenye😭😭
hafidts || Ini kataku sih  kadang kayag gini itu  hari keberapa gitu  ada hal" aneh beneran🤔
ifa.latifaaa || Tuman disembur 🔥
ainugee || Undang Mba 😂 @sarawijayanto
lulusohighh || 😭😭
tri_puji_29 || @diarymisterisara @sarawijayanto @_demianaditya_ @wisnuhardana @fadi.iskandar 😂😂
a1nul__ || kayaknya seru kalo KA Fadil jaidi ikut penelusuran bareng @tim_jurnalrisa @risa_saraswati dehhhh
aryawrtn_ || @sadyanns @dewiratnaj disembur di akhir woy😢
nongneng03 || 🤣🤣🤣🤣
sabelalaaaaa || fadil yang bener sih dil😭
qisya220723 || Ka @sarawijayanto bawa fadil penelusuran
meiditasilv || Gak ada horor2nya. Tetep LAWAK keluarga ini kocak😂
putri_fs || Next versi Jin nya yg pake AI min @meta terus collab sama @sarawijayanto & @risa_saraswati pasti seruu nyai dan teh risa lihat kelakuan Jinnya pakai AI 😂😂😂
diviaaska || Udh ky gini mah harus ikut dms biar seru @dmsplus.id
ara.sseo_ || @tim_jurnalrisa yubisayuu bareng @fadiljaidi
bebyghe_ || Dil bisa diem ga? Cape ngakak mulu😂
marchies12 || @tim_jurnalrisa tolong ajakin pak muh sama fadil penelusuran min
farhanhakims || Pak muh cosplay undertaker ya 😂
rucilk || bisa bisanyaaa
angah_uty || @diarymisterisara
shafayara_ || @sarawijayanto nyai ..coba ajak fadill😂
